source,bystander_key,kind,noun,trait,level,rate,base_rate,rate_minus_base,ci_lo,ci_hi,ci_halfwidth,coherence_mean,low_coherence,ns_floor
person,A1__person__Openness__L1,A1,person,Openness,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Openness__L2,A1,person,Openness,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Openness__L3,A1,person,Openness,L3,0.24,0.0,0.24,0.18,0.3,0.06,0.8140000000000001,False,False
person,A1__person__Openness__L4,A1,person,Openness,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Openness__L5,A1,person,Openness,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Conscientiousness__L1,A1,person,Conscientiousness,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Conscientiousness__L2,A1,person,Conscientiousness,L2,0.09,0.0,0.09,0.055,0.13,0.037500000000000006,0.14233333333333334,True,False
person,A1__person__Conscientiousness__L3,A1,person,Conscientiousness,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Conscientiousness__L4,A1,person,Conscientiousness,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Conscientiousness__L5,A1,person,Conscientiousness,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Extraversion__L1,A1,person,Extraversion,L1,0.04,0.0,0.04,0.015,0.07,0.027500000000000004,0.7033333333333336,False,False
person,A1__person__Extraversion__L2,A1,person,Extraversion,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Extraversion__L3,A1,person,Extraversion,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Extraversion__L4,A1,person,Extraversion,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Extraversion__L5,A1,person,Extraversion,L5,0.03,0.0,0.03,0.01,0.06,0.024999999999999998,0.2461666666666666,True,False
person,A1__person__Agreeableness__L1,A1,person,Agreeableness,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Agreeableness__L2,A1,person,Agreeableness,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Agreeableness__L3,A1,person,Agreeableness,L3,0.28,0.0,0.28,0.22,0.3401249999999999,0.06006249999999995,0.37983333333333336,True,False
person,A1__person__Agreeableness__L4,A1,person,Agreeableness,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Agreeableness__L5,A1,person,Agreeableness,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
